time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c
2025-09-22T21:18:27.983755,-8.27,-0.66,-5.65,0.05,0.03,0.0,29.67
2025-09-22T21:18:28.087228,-8.29,-0.62,-5.63,0.04,0.03,0.0,29.67
2025-09-22T21:18:28.190352,-8.27,-0.64,-5.67,0.04,0.03,0.0,29.69
2025-09-22T21:18:28.311310,-8.28,-0.63,-5.64,0.05,0.03,0.0,29.66
2025-09-22T21:18:28.396214,-8.27,-0.64,-5.65,0.05,0.03,-0.0,29.68
2025-09-22T21:18:28.501944,-8.28,-0.65,-5.66,0.05,0.03,0.0,29.67
2025-09-22T21:18:28.603750,-8.28,-0.66,-5.66,0.05,0.03,-0.0,29.69
2025-09-22T21:18:28.712754,-8.26,-0.63,-5.64,0.04,0.03,0.0,29.68
2025-09-22T21:18:28.810695,-8.26,-0.66,-5.62,0.05,0.03,-0.0,29.68
2025-09-22T21:18:28.915916,-8.27,-0.6,-5.64,0.05,0.03,-0.0,29.69
2025-09-22T21:18:29.044707,-8.25,-0.66,-5.66,0.05,0.03,0.0,29.69
2025-09-22T21:18:29.138763,-8.27,-0.64,-5.66,0.05,0.03,-0.0,29.69
2025-09-22T21:18:29.252541,-8.27,-0.64,-5.63,0.05,0.03,-0.0,29.67
2025-09-22T21:18:29.352652,-8.29,-0.65,-5.62,0.05,0.03,-0.0,29.68
2025-09-22T21:18:29.455668,-8.26,-0.65,-5.66,0.06,0.02,-0.0,29.68
2025-09-22T21:18:29.531799,-8.3,-0.62,-5.66,0.05,0.03,-0.0,29.68
2025-09-22T21:18:29.661190,-8.27,-0.65,-5.69,0.04,0.03,-0.0,29.68
2025-09-22T21:18:29.766211,-8.26,-0.65,-5.65,0.05,0.03,-0.0,29.67
2025-09-22T21:18:29.866996,-8.28,-0.63,-5.64,0.05,0.03,-0.0,29.68
2025-09-22T21:18:29.962086,-8.27,-0.64,-5.65,0.04,0.03,-0.0,29.67
2025-09-22T21:18:30.044206,-8.29,-0.65,-5.68,0.06,0.03,-0.0,29.68
2025-09-22T21:18:30.166100,-8.28,-0.64,-5.66,0.04,0.03,0.0,29.7
2025-09-22T21:18:30.267514,-8.27,-0.67,-5.64,0.04,0.03,-0.0,29.67
2025-09-22T21:18:30.363429,-8.27,-0.64,-5.63,0.05,0.03,0.0,29.69
2025-09-22T21:18:30.455755,-8.26,-0.65,-5.62,0.05,0.03,-0.0,29.68
2025-09-22T21:18:30.559200,-8.29,-0.64,-5.65,0.05,0.03,0.0,29.69
2025-09-22T21:18:30.662193,-8.27,-0.66,-5.66,0.05,0.03,0.0,29.68
2025-09-22T21:18:30.783720,-8.27,-0.65,-5.63,0.04,0.03,0.0,29.69
2025-09-22T21:18:30.947244,-8.27,-0.63,-5.65,0.05,0.03,-0.0,29.68
2025-09-22T21:18:30.972320,-8.28,-0.61,-5.62,0.05,0.03,-0.0,29.67
2025-09-22T21:18:31.078778,-8.26,-0.66,-5.65,0.05,0.03,0.0,29.69
2025-09-22T21:18:31.178726,-8.25,-0.63,-5.65,0.05,0.03,-0.0,29.67
2025-09-22T21:18:31.279079,-8.28,-0.63,-5.62,0.04,0.03,0.0,29.7
2025-09-22T21:18:31.383239,-8.25,-0.69,-5.65,0.05,0.03,-0.0,29.69
2025-09-22T21:18:31.486222,-8.28,-0.61,-5.63,0.05,0.03,0.0,29.67
2025-09-22T21:18:31.589207,-8.28,-0.68,-5.67,0.05,0.03,0.0,29.69
2025-09-22T21:18:31.710163,-8.26,-0.65,-5.65,0.05,0.03,-0.0,29.7
2025-09-22T21:18:31.795186,-8.28,-0.64,-5.64,0.04,0.03,0.0,29.69
2025-09-22T21:18:31.897768,-8.27,-0.67,-5.64,0.05,0.03,-0.0,29.68
2025-09-22T21:18:32.001152,-8.27,-0.64,-5.63,0.05,0.03,-0.0,29.67
2025-09-22T21:18:32.104300,-8.28,-0.63,-5.65,0.05,0.03,-0.0,29.69
2025-09-22T21:18:32.207209,-8.27,-0.68,-5.65,0.04,0.03,0.0,29.67
2025-09-22T21:18:32.310210,-8.26,-0.64,-5.62,0.05,0.03,0.0,29.68
2025-09-22T21:18:32.413253,-8.28,-0.65,-5.66,0.04,0.03,-0.0,29.68
2025-09-22T21:18:32.516214,-8.29,-0.65,-5.64,0.05,0.03,-0.0,29.68
2025-09-22T21:18:32.620761,-8.27,-0.64,-5.64,0.05,0.03,-0.0,29.71
2025-09-22T21:18:32.722230,-8.26,-0.65,-5.62,0.05,0.03,-0.0,29.69
2025-09-22T21:18:32.825222,-8.28,-0.64,-5.64,0.04,0.03,-0.0,29.69
2025-09-22T21:18:32.950452,-8.28,-0.66,-5.62,0.04,0.03,-0.0,29.67
2025-09-22T21:18:33.044561,-8.29,-0.63,-5.65,0.05,0.03,-0.0,29.69
2025-09-22T21:18:33.145623,-8.3,-0.65,-5.64,0.05,0.03,-0.0,29.69
2025-09-22T21:18:33.252381,-8.29,-0.65,-5.66,0.05,0.03,0.0,29.68
2025-09-22T21:18:33.369441,-8.28,-0.64,-5.64,0.04,0.03,0.0,29.69
2025-09-22T21:18:33.448570,-8.27,-0.66,-5.63,0.04,0.03,-0.0,29.66
